state,year,vote,reg,close,edr,pcthsg,south,nonSouth
"ma",1972,74.03973,83.71783,31,0,68.07,0,1
"ma",1980,73.40067,81.42796,28,0,75.37,0,1
"ma",1984,69.14964,79.16666,28,0,79.49,0,1
"ma",1988,71.23677,79.50327,28,0,83.42,0,1
"ma",1992,76.75256,84.40135,28,0,86.57,0,1
"ma",1996,68.50797,80.67661,20,0,86.77,0,1
"ma",2000,72.01167,84.27562,20,0,86.71,0,1
"mi",1972,69.09784,78.0369,32,0,64.19,0,1
"mi",1980,70.97506,80.93463,30,0,71.13,0,1
"mi",1984,67.92706,80.76818,30,0,75.55,0,1
"mi",1988,66.88279,81.86687,30,0,79.21,0,1
"mi",1992,73.22431,83.16782,30,0,82.07,0,1
"mi",1996,66.08022,82.0623,30,0,84.51,0,1
"mi",2000,71.56034,82.87725,30,0,86.89,0,1
"mn",1972,78.23129,86.81723,20,0,69.94,0,1
"mn",1980,78.22001,89.68785,0,1,77.45,0,1
"mn",1984,78.89909,90.16772,0,1,81.12,0,1
"mn",1988,75.63025,84.35374,0,1,82.71,0,1
"mn",1992,79.37337,92.07746,0,1,85.6,0,1
"mn",1996,73.58171,86.62093,0,1,87.38,0,1
"mn",2000,76.86895,87.24535,0,1,90.51,0,1
"ms",1972,62.1118,81.80873,30,0,47.12,1,0
"ms",1980,69.25887,83.46498,30,0,61.66,1,0
"ms",1984,72.91666,85.78397,30,0,65.89,1,0
"ms",1988,66.78912,82.44048,30,0,64.89,1,0
"ms",1992,70.98854,83.56264,30,0,72.29,1,0
"ms",1996,61.57685,79.81837,30,0,77.73,1,0
"ms",2000,68.55556,82.65306,30,0,78.88,1,0
"mo",1972,68.14815,80.08415,27,0,60.9,0,1
"mo",1980,70.2,79.05338,27,0,69.34,0,1
"mo",1984,68.25215,79.06033,28,0,74.14,0,1
"mo",1988,66.33582,77.42475,28,0,79.29,0,1
"mo",1992,70.25152,78.54641,28,0,82.46,0,1
